"country","population","density","size"
"Guam","169031","313","540"
"Curaçao","164211","370","444"
"Kiribati","119760","147","810"
"Micronesia","115231","164","700"
"Grenada","112614","331","340"
"St. Vincent & Grenadines","111002","284","390"
"Aruba","106845","593","180"
"Tonga","105901","147","720"
"U.S. Virgin Islands","104398","298","350"
"Seychelles","98453","214","460"
"Antigua and Barbuda","98069","223","440"
"Isle of Man","85112","149","570"
"Andorra","77287","164","470"
"Dominica","72017","96","750"
"Cayman Islands","65854","274","240"
"Bermuda","62237","1246","50"
"Marshall Islands","59259","329","180"
"Northern Mariana Islands","57619","125","460"
"Greenland","56787","0","410450"
"American Samoa","55169","276","200"
"Saint Kitts & Nevis","53264","205","260"
"Faeroe Islands","48896","35","1396"
"Sint Maarten","42960","1261","34"
"Monaco","39290","26337","1"
"Turks and Caicos","38806","41","950"
"Saint Martin","38778","730","53"
"Liechtenstein","38147","238","160"
"San Marino","33944","566","60"
"Gibraltar","33689","3369","10"
"British Virgin Islands","30266","202","150"
"Caribbean Netherlands","26265","80","328"
"Palau","18109","39","460"
"Cook Islands","17567","73","240"
"Anguilla","15026","167","90"
"Tuvalu","11817","393","30"
"Wallis & Futuna","11203","80","140"
"Nauru","10836","541","20"
"Saint Barthelemy","9882","470","21"
"Saint Helena","6080","16","390"
"Saint Pierre & Miquelon","5789","25","230"
"Montserrat","4993","50","100"
"Falkland Islands","3497","0","12170"
"Niue","1628","6","260"
"Tokelau","1360","136","10"
"Holy See","801","2003","0"
