id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset,dataset_split,available_channels,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_threshold,slow_threshold,conceptualisation_heuristics,speaker_competitors,hearer_competitors,weight_update_strategy,initial_weight,weight_incf,weight_decf,switch_condition,switch_conditions_after_n_interactions,stage_parameters
1,hyperparam-1,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.01,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
2,hyperparam-2,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
3,hyperparam-3,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.05,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
4,hyperparam-4,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.1,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
5,hyperparam-5,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.01,0.0,0.5,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
6,hyperparam-6,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,0.5,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
7,hyperparam-7,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.05,0.0,0.5,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
8,hyperparam-8,1,100000,10,gqaglove50,train,:gqaglove50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.1,0.0,0.5,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,25000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
